610,	263,	23.59
516,	113,	20.28
701,	378,	32.49
876,	399,	55.07
712,	602,	25.09
716,	511,	28.53
720,	245,	32.3
558,	428,	16.88
305,	301,	7.77
834,	432,	42.2
809,	406,	48.19
514,	203,	18.41
505,	289,	13.51
579,	316,	17.53
667,	425,	27.54
734,	456,	34.29
730,	313,	31.26
669,	184,	27.22

