224,	192,	902
224,	292,	910
224,	392,	910
224,	492,	905
324,	192,	900
324,	292,	920
324,	392,	936
324,	492,	935
424,	192,	910
424,	292,	930
424,	392,	895
424,	492,	875
524,	192,	880
524,	292,	880
524,	392,	855
524,	492,	820
224,	592,	895
324,	592,	900
424,	592,	850
524,	592,	805
24,	92,	845
124,	92,	865
224,	92,	885
324,	92,	885
424,	92,	885
24,	192,	850
124,	192,	875
24,	292,	855
124,	292,	883
24,	392,	845
124,	392,	880
24,	492,	840
124,	492,	872
24,	592,	824
124,	592,	860
24,	692,	800
124,	692,	837
24,	792,	760
124,	792,	812
224,	692,	865
224,	792,	850
324,	692,	890
324,	792,	880
424,	692,	830
424,	792,	825
524,	692,	785
524,	792,	770
524,	92,	865
